Algorithm, Input Size, Average Time
Insertion Sort, 16, 0.00013548
Selection Sort, 16, 0.00011722
Bubble Sort, 16, 0.00017782
Quick Sort, 16, 8.856e-05
Merge Sort, 16, 0.00067996
Shell Sort, 16, 3.738e-05
Radix Sort (LSD), 16, 0.00026738
Insertion Sort, 32, 0.00040918
Selection Sort, 32, 0.00037562
Bubble Sort, 32, 0.00055808
Quick Sort, 32, 0.00018618
Merge Sort, 32, 0.00178436
Shell Sort, 32, 0.0002163
Radix Sort (LSD), 32, 0.00043748
Insertion Sort, 64, 0.00150912
Selection Sort, 64, 0.00133424
Bubble Sort, 64, 0.00308758
Quick Sort, 64, 0.0005928
Merge Sort, 64, 0.00286778
Shell Sort, 64, 0.00027114
Radix Sort (LSD), 64, 0.00078462
Insertion Sort, 128, 0.00529298
Selection Sort, 128, 0.00496164
Bubble Sort, 128, 0.0121073
Quick Sort, 128, 0.00114344
Merge Sort, 128, 0.0081476
Shell Sort, 128, 0.00066024
Radix Sort (LSD), 128, 0.0014498
Insertion Sort, 256, 0.0231327
Selection Sort, 256, 0.021297
Bubble Sort, 256, 0.0523338
Quick Sort, 256, 0.00243198
Merge Sort, 256, 0.017182
Shell Sort, 256, 0.00177202
Radix Sort (LSD), 256, 0.00422638
Insertion Sort, 512, 0.0936564
Selection Sort, 512, 0.0828272
Bubble Sort, 512, 0.186525
Quick Sort, 512, 0.00517852
Merge Sort, 512, 0.0277427
Shell Sort, 512, 0.00448336
Radix Sort (LSD), 512, 0.00585036
Insertion Sort, 1024, 0.390249
Selection Sort, 1024, 0.292789
Bubble Sort, 1024, 0.837074
Quick Sort, 1024, 0.0124852
Merge Sort, 1024, 0.0582098
Shell Sort, 1024, 0.0154309
Radix Sort (LSD), 1024, 0.0130338
Insertion Sort, 2048, 1.53473
Selection Sort, 2048, 1.20144
Bubble Sort, 2048, 3.22736
Quick Sort, 2048, 0.0257303
Merge Sort, 2048, 0.139775
Shell Sort, 2048, 0.0303672
Radix Sort (LSD), 2048, 0.0227482
Insertion Sort, 4096, 5.99137
Selection Sort, 4096, 4.64332
Bubble Sort, 4096, 12.7212
Quick Sort, 4096, 0.06043
Merge Sort, 4096, 0.260785
Shell Sort, 4096, 0.0701508
Radix Sort (LSD), 4096, 0.0658467
Insertion Sort, 8192, 23.7197
Selection Sort, 8192, 18.4255
Bubble Sort, 8192, 52.9309
Quick Sort, 8192, 0.126283
Merge Sort, 8192, 0.538817
Shell Sort, 8192, 0.211822
Radix Sort (LSD), 8192, 0.0889029
Insertion Sort, 16384, 96.9196
Selection Sort, 16384, 75.1847
Bubble Sort, 16384, 207.498
Quick Sort, 16384, 0.257413
Merge Sort, 16384, 1.10129
Shell Sort, 16384, 0.49281
Radix Sort (LSD), 16384, 0.169521
Insertion Sort, 32768, 379.865
Selection Sort, 32768, 296.712
Bubble Sort, 32768, 827.04
Quick Sort, 32768, 0.574
Merge Sort, 32768, 2.2991
Shell Sort, 32768, 1.30784
Radix Sort (LSD), 32768, 0.336452
Insertion Sort, 65536, 1522.47
Selection Sort, 65536, 1182.65
Bubble Sort, 65536, 3335.05
Quick Sort, 65536, 1.18511
Merge Sort, 65536, 4.74927
Shell Sort, 65536, 4.29673
Radix Sort (LSD), 65536, 0.66334
Insertion Sort, 131072, 6080.36
Selection Sort, 131072, 4724.8
Bubble Sort, 131072, 13290.4
Quick Sort, 131072, 2.58935
Merge Sort, 131072, 9.8259
Shell Sort, 131072, 9.61998
Radix Sort (LSD), 131072, 1.33807
