
Algorithm, Input Size, Average Time
Insertion Sort, 1, 1.96e-06
Selection Sort, 1, 3.3e-06
Bubble Sort, 1, 1.88e-06
Quick Sort, 1, 3.84e-06
Merge Sort, 1, 1.2e-06
Shell Sort, 1, 1.6e-06
Radix Sort (LSD), 1, 6.598e-05
Insertion Sort, 20000, 143.528
Selection Sort, 20000, 111.399
Bubble Sort, 20000, 308.428
Quick Sort, 20000, 0.357568
Merge Sort, 20000, 1.44933
Shell Sort, 20000, 0.290737
Radix Sort (LSD), 20000, 0.13763
Insertion Sort, 40000, 567.769
Selection Sort, 40000, 442.411
Bubble Sort, 40000, 1238.62
Quick Sort, 40000, 0.725773
Merge Sort, 40000, 2.9667
Shell Sort, 40000, 0.669742
Radix Sort (LSD), 40000, 0.276406
Insertion Sort, 60000, 1275.4
Selection Sort, 60000, 991.428
Bubble Sort, 60000, 2779.16
Quick Sort, 60000, 1.09677
Merge Sort, 60000, 4.40567
Shell Sort, 60000, 1.03974
Radix Sort (LSD), 60000, 0.421628
Insertion Sort, 80000, 2293.57
Selection Sort, 80000, 1759.87
Bubble Sort, 80000, 4984.25
Quick Sort, 80000, 1.46828
Merge Sort, 80000, 6.12701
Shell Sort, 80000, 1.5139
Radix Sort (LSD), 80000, 0.565707
Insertion Sort, 100000, 3523.78
Selection Sort, 100000, 2774.32
Bubble Sort, 100000, 7788.22
Quick Sort, 100000, 1.87103
Merge Sort, 100000, 7.6499
Shell Sort, 100000, 1.95151
Radix Sort (LSD), 100000, 0.696655
