Algorithm, Input Size, Average Time
Insertion Sort, 1, 6.06e-06
Selection Sort, 1, 8.94e-06
Bubble Sort, 1, 2.28e-06
Quick Sort, 1, 4.64e-06
Merge Sort, 1, 1.56e-06
Shell Sort, 1, 2.78e-06
Radix Sort (LSD), 1, 5.63e-05
Insertion Sort, 2240, 3.63317
Selection Sort, 2240, 1.41014
Bubble Sort, 2240, 4.29286
Quick Sort, 2240, 1.68674
Merge Sort, 2240, 0.128914
Shell Sort, 2240, 0.0118524
Radix Sort (LSD), 2240, 0.0130702
Insertion Sort, 4480, 14.4054
Selection Sort, 4480, 5.59319
Bubble Sort, 4480, 17.1959
Quick Sort, 4480, 6.72939
Merge Sort, 4480, 0.27273
Shell Sort, 4480, 0.0270986
Radix Sort (LSD), 4480, 0.0259368
Insertion Sort, 6720, 32.3202
Selection Sort, 6720, 12.5572
Bubble Sort, 6720, 38.5563
Quick Sort, 6720, 15.0919
Merge Sort, 6720, 0.415932
Shell Sort, 6720, 0.0396121
Radix Sort (LSD), 6720, 0.0419607
Insertion Sort, 8960, 57.7102
Selection Sort, 8960, 22.3271
Bubble Sort, 8960, 69.306
Quick Sort, 8960, 26.7978
Merge Sort, 8960, 0.562527
Shell Sort, 8960, 0.056646
Radix Sort (LSD), 8960, 0.0521614
Insertion Sort, 11200, 90.7982
Selection Sort, 11200, 34.8786
Bubble Sort, 11200, 107.168
Quick Sort, 11200, 42.1403
Merge Sort, 11200, 0.707629
Shell Sort, 11200, 0.0695708
Radix Sort (LSD), 11200, 0.0649168
Insertion Sort, 13440, 128.997
Selection Sort, 13440, 50.5069
Bubble Sort, 13440, 154.15
Quick Sort, 13440, 61.1621
Merge Sort, 13440, 0.844096
Shell Sort, 13440, 0.0879767
Radix Sort (LSD), 13440, 0.084188
Insertion Sort, 15680, 175.144
Selection Sort, 15680, 69.1746
Bubble Sort, 15680, 209.848
Quick Sort, 15680, 82.6004
Merge Sort, 15680, 0.982611
Shell Sort, 15680, 0.101383
Radix Sort (LSD), 15680, 0.0907805
Insertion Sort, 17920, 228.397
Selection Sort, 17920, 89.7747
Bubble Sort, 17920, 273.822
Quick Sort, 17920, 107.706
Merge Sort, 17920, 1.15728
Shell Sort, 17920, 0.125112
Radix Sort (LSD), 17920, 0.103813
Insertion Sort, 20160, 288.622
Selection Sort, 20160, 113.417
Bubble Sort, 20160, 346.588
Quick Sort, 20160, 136.266
Merge Sort, 20160, 1.32236
Shell Sort, 20160, 0.133083
Radix Sort (LSD), 20160, 0.116704
Insertion Sort, 22400, 356.019
Selection Sort, 22400, 139.851
Bubble Sort, 22400, 427.396
Quick Sort, 22400, 168.056
Merge Sort, 22400, 1.45788
Shell Sort, 22400, 0.150284
Radix Sort (LSD), 22400, 0.133414
Insertion Sort, 24640, 431.404
Selection Sort, 24640, 169.171
Bubble Sort, 24640, 516.994
Quick Sort, 24640, 203.169
Merge Sort, 24640, 1.60197
Shell Sort, 24640, 0.162435
Radix Sort (LSD), 24640, 0.14356
Insertion Sort, 26880, 512.104
Selection Sort, 26880, 201.196
Bubble Sort, 26880, 616.478
Quick Sort, 26880, 241.683
Merge Sort, 26880, 1.74135
Shell Sort, 26880, 0.187568
Radix Sort (LSD), 26880, 0.155869
Insertion Sort, 29120, 600.754
Selection Sort, 29120, 236.217
Bubble Sort, 29120, 722.9
Quick Sort, 29120, 283.919
Merge Sort, 29120, 1.8743
